證交所新聞
"標題","連結","日期"
"證交所公布本國上市公司109年度非擔任主管職務之全時員工薪資資訊","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c447e8f0195","110年06月30日"
"指數股票型基金分割及反分割機制自110年6月30日起實施","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c426b3e0193","110年06月30日"
"國巨股份有限公司(國巨，公司代號：2327) 上市普通股暨以其為標的之認購(售)權證自110年7月1日起恢復交易","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c33ce1b018f","110年06月30日"
"森崴能源(股)公司於110年6月30日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c2c418d018b","110年06月30日"
"奇力新電子股份有限公司(奇力新，公司代號：2456)上市普通股及以其為標的之認購(售)權證自110年6月30日起暫停交易。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5750a2e10183","110年06月29日"
"國巨股份有限公司(公司代號：2327)上市普通股暨以其為標的之認購(售)權證自110年6月30日起暫停交易","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a57452f0f017f","110年06月29日"
"國泰投信募集發行之國泰智能電動車ETF，將於7月1日掛牌上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a55e6348d017a","110年06月29日"
"上週外資在集中市場賣超203.11億元，賣超群創11.51萬張最多，另買超開發金19.26萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a50e192660172","110年06月28日"
"證交所6月底推出2項交易制度新措施","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a426eecaf016b","110年06月25日"
"本週發行量加權股價指數漲幅約為1.07%，上市股票總市值達53.55兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a426e33f50169","110年06月25日"
"安普新自本（110）年6月23日起得為融資融券交易","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a3302abf0015d","110年06月22日"
"全體證券商110年05月份稅後淨利47.61億元，累計稅後淨利448.89億元","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a31f81abe0159","110年06月22日"
"上週外資在集中市場賣超264.15億元，賣超友達14.27萬張最多，另買超強茂1.49萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a2cb545d00154","110年06月21日"
"上市公司以現金方式分派股息及紅利之議案經電子投票達法定決議門檻者，可於延期召開之股東會前辦理除息公告","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a1e584950014e","110年06月18日"
"本週發行量加權股價指數漲幅約為0.61%，上市股票總市值達52.98兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a1e50a0b8014a","110年06月18日"
"台股領航論壇圓滿成功，線上引資大獲好評","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a1d0b2b980141","110年06月18日"
"臺灣證券交易所股份有限公司公告召開110年股東常會","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a1c585bdd0138","110年06月18日"
"110年6月17日除息影響加權股價指數","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a143267450128","110年06月16日"
"證交所以遠距線上方式突破疫情重圍","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a0e7affc60120","110年06月15日"
"上週外資在集中市場買超1.65億元，買超彰銀9.95萬張最多，另賣超群創6.09萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a0dcb8013011c","110年06月15日"
